| v\e | e 1| e 2| e 3| e 4| e 5| e 6| e 7| e 8| e 9| e10| e11| e12| e13| e14| e15| e16| e17| e18| e19| e20| e21|
| v 1 | -1 |  1 | -1 |  1 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 |
| v 2 | -842150451 | -842150451 | -842150451 | -842150451 |  2 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -1 |  1 | -1 |  1 | -842150451 | -842150451 | -842150451 | -842150451 |
| v 3 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 |  1 | -1 | -1 |  1 | -842150451 | -842150451 |
| v 4 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -1 |  1 | -1 |  1 | -1 |  1 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 |
| v 5 |  1 | -1 | -842150451 | -842150451 | -842150451 |  1 | -1 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 |  1 | -1 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 |
| v 6 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 |  1 | -1 | -1 |  1 |
| v 7 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 |  1 | -1 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 |
| v 8 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 |  1 | -1 | -1 |  1 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 |
| v 9 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 |  1 | -1 |
| v10 | -842150451 | -842150451 |  1 | -1 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 |  1 | -1 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 | -842150451 |
